CAREHOME_id	Box_id	caseload_month	wmd.caseload_yr -8	caseload_size	Days_Since_Last_Reading	observ_month	wmd.observ_yr -8	BP	Pulse	O2	Temp	NEWS2(0-4)	NEWS2(5-6)	NEWS2(7+)	NEWS2
XM5FD1	BOX217	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XM5FD1	BOX218	JULY 	2013	10	0	JULY 	2013	0	0	0	0	0	0	0	0
XM5FD1	BOX219	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XNC951	BOX220	JULY 	2013	3	130	JULY 	2013	0	0	0	0	0	0	0	0
XNC951	BOX221	JULY 	2013	1	0	JULY 	2013	0	0	0	0	0	0	0	0
XNJQE1	BOX222	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XM9G71	BOX223	JULY 	2013	4	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2KV1	BOX224	JULY 	2013	3	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2KV1	BOX225	JULY 	2013	5	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2KV1	BOX226	JULY 	2013	8	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2KV1	BOX227	JULY 	2013	4	0	JULY 	2013	0	0	0	0	0	0	0	0
XNF7C1	BOX228	JULY 	2013	9	10	JULY 	2013	11	19	8	7	0	0	0	0
XL2L31	BOX229	JULY 	2013	3	8	JULY 	2013	5	8	3	5	0	0	0	0
XL2L51	BOX230	JULY 	2013	18	35	JULY 	2013	0	0	0	0	0	0	0	0
XL2L81	BOX231	JULY 	2013	27	1	JULY 	2013	41	84	44	33	9	1	2	12
XL2LC1	BOX232	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2ME1	BOX233	JULY 	2013	6	1	JULY 	2013	2	71	69	64	1	0	0	1
XL2ME1	BOX234	JULY 	2013	18	1	JULY 	2013	24	305	281	260	11	3	0	14
XL2ME1	BOX235	JULY 	2013	19	1	JULY 	2013	5	194	189	180	2	0	0	2
XL2LE1	BOX236	JULY 	2013	23	1	JULY 	2013	22	127	105	98	14	2	1	17
XL5A51	BOX237	JULY 	2013	7	98	JULY 	2013	0	0	0	0	0	0	0	0
XL2MF1	BOX238	JULY 	2013	5	97	JULY 	2013	0	0	0	0	0	0	0	0
XL2MF1	BOX239	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2MF1	BOX240	JULY 	2013	4	118	JULY 	2013	0	0	0	0	0	0	0	0
XL2ML1	BOX241	JULY 	2013	7	40	JULY 	2013	0	0	0	0	0	0	0	0
XL2MR1	BOX242	JULY 	2013	12	114	JULY 	2013	0	0	0	0	0	0	0	0
XLKMC1	BOX243	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XNH851	BOX244	JULY 	2013	6	20	JULY 	2013	6	12	6	6	5	1	0	6
XL3JV1	BOX245	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2J61	BOX246	JULY 	2013	0	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2JJ1	BOX247	JULY 	2013	2	85	JULY 	2013	0	0	0	0	0	0	0	0
XL2PL1	BOX248	JULY 	2013	26	29	JULY 	2013	0	1	1	0	0	0	0	0
XM4871	BOX249	JULY 	2013	16	0	JULY 	2013	45	94	49	38	14	0	2	16
XNFCG1	BOX250	JULY 	2013	1	0	JULY 	2013	0	0	0	0	0	0	0	0
XNFCG1	BOX251	JULY 	2013	8	0	JULY 	2013	0	0	0	0	0	0	0	0
XNFCG1	BOX252	JULY 	2013	10	73	JULY 	2013	0	0	0	0	0	0	0	0
XNFCG1	BOX253	JULY 	2013	8	73	JULY 	2013	0	0	0	0	0	0	0	0
XNFCG1	BOX254	JULY 	2013	1	0	JULY 	2013	0	0	0	0	0	0	0	0
XNFCG1	BOX255	JULY 	2013	2	0	JULY 	2013	0	0	0	0	0	0	0	0
XNFCG1	BOX256	JULY 	2013	2	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2LT1	BOX257	JULY 	2013	6	89	JULY 	2013	0	0	0	0	0	0	0	0
XL2DH1	BOX258	JULY 	2013	6	77	JULY 	2013	0	0	0	0	0	0	0	0
XL2E41	BOX259	JULY 	2013	5	129	JULY 	2013	0	0	0	0	0	0	0	0
XL2F51	BOX260	JULY 	2013	8	31	JULY 	2013	0	11	11	0	0	0	0	0
XLXNM1	BOX261	JULY 	2013	30	0	JULY 	2013	0	0	0	0	0	0	0	0
XLXNM1	BOX262	JULY 	2013	3	0	JULY 	2013	0	0	0	0	0	0	0	0
XM92X1	BOX263	JULY 	2013	6	0	JULY 	2013	0	0	0	0	0	0	0	0
XNEKD1	BOX264	JULY 	2013	16	56	JULY 	2013	0	0	0	0	0	0	0	0
XNG861	BOX265	JULY 	2013	5	0	JULY 	2013	0	0	0	0	0	0	0	0
XL2PF1	BOX266	JULY 	2013	7	0	JULY 	2013	0	0	0	0	0	0	0	0
